name, full_name, valid, irrelevant, missing, invalid, cpp, cs, objc, go, java, coffee, js, ts, ruby, php, python, perl, clojure, erlang, haskell, scala 
"GreenDroid","00s/GreenDroid",41,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"angular.js","00s/angular.js",2988,1048,11,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0
"cli","0111001101111010/cli",81,25,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"phaser","0111001101111010/phaser",698,52,366,0,0,0,0,0,0,0,348,26,0,43,0,0,0,0,0,0
"Arduino","01org/Arduino",990,921,145,0,129,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0
"PhotoView","02110917/PhotoView",125,71,24,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"picasso","02110917/picasso",270,56,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
"springside4","02N/springside4",444,293,64,0,0,0,0,0,45,0,14,0,0,0,0,0,0,0,0,8
"ActionBarSherlock","0359xiaodong/ActionBarSherlock",796,540,15,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0
"MBProgressHUD","0359xiaodong/MBProgressHUD",125,59,23,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"NineOldAndroids","0359xiaodong/NineOldAndroids",56,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PushSharp","0359xiaodong/PushSharp",257,69,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SlidingMenu","0359xiaodong/SlidingMenu",193,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"facebook-android-sdk","0359xiaodong/facebook-android-sdk",370,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"libgdx","0359xiaodong/libgdx",5481,1328,425,0,37,0,2,0,375,0,10,0,0,0,15,0,0,0,0,0
"cancan","0612800232/cancan",274,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"three.js","06wj/three.js",4733,3239,7168,0,4,0,0,0,0,0,6985,1,0,1,208,0,0,0,0,0
"bootstrap","09133695/bootstrap",1012,5703,372,0,0,0,0,0,0,0,361,0,0,0,11,0,0,0,0,0
"scikit-learn","0asa/scikit-learn",11089,2597,1586,0,395,0,0,0,0,0,17,0,0,0,1242,0,0,0,0,0
"martini","0dayZh/martini",153,69,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"zerorpc-python","0rpc/zerorpc-python",88,31,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"Effeckt.css","0x0all/Effeckt.css",80,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"html5-boilerplate","0x0all/html5-boilerplate",111,959,13,0,0,0,0,0,0,0,2,0,3,8,0,0,0,0,0,0
"revel","0x19/revel",583,83,30,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0
"DesignPatternsPHP","shelwinnn/DesignPatternsPHP",197,28,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GPUImage","0x4d52/GPUImage",532,47,61,0,44,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"FlatUIKit","0x73/FlatUIKit",92,39,20,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"symfony","0x73/symfony",9799,2025,1022,0,3,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0
"tornado","0x73/tornado",1531,311,381,0,2,0,0,0,0,0,3,0,0,0,376,0,0,0,0,0
